"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"60","293.4579796391324","383.8693834906705","4.672400466174615","-0.31324002018211905","0.013299999999999979","0.0152","0.011399999999999966","1216","0.00039269582449865124","0","0.00039269582449865124","0.00039269582449865124","","","true"
"61","159.10973724949832","261.65868585943906","4.901574231418826","-0.30995863458067757","0.010399999999999965","0.0142","0.00660000000000005","1216","0.00023346344048235195","0","0.00023346344048235195","0.00023346344048235195","61_60:0.007465622715123632;61_62:0.006207885257561968","61_60:533.3333333333333;61_62:533.3333333333333","true"
"62","291.56444519609704","311.68507297132135","4.771232643288424","-0.3109932039506031","0.013700000000000045","0.015000000000000013","0.0124","1216","0.00034965076658967056","0","0.00034965076658967056","0.00034965076658967056","","","true"
"63","199.99518680320017","113.34325767995921","4.994786719643829","-0.308453762666027","0.028200000000000003","0.015000000000000013","0.0414","1216","0.00015367738104336758","0","0.00015367738104336758","0.00015367738104336758","63_64:0.007099794447831348;63_62:0.0071981378143007035","63_64:533.3333333333333;63_62:533.3333333333333","true"
"64","244.27277892206567","198.71433375728117","4.878916946712759","-0.31051183745857736","0.23520000000000008","0.05500000000000005","0.4154","1216","0.0001970960234404264","0","0.0001970960234404264","0.0001970960234404264","64_65:0.005889478635463186;64_54:0.007474378148433075","64_65:533.3333333333333;64_54:533.3333333333333","true"
"65","155.46481088172973","178.2256521254618","4.758077417316479","-0.31051573933044047","0.021666666666666723","0.023333333333333334","0.020000000000000018","1216","0.00019837682755031205","0","0.00019837682755031205","0.00019837682755031205","","","true"
"66","228.1296771638921","344.2883057094367","4.809594109091326","-0.3109248312518322","0.44333333333333336","0.33666666666666667","0.55","1216","0.00020547282407444537","0","0.00020547282407444537","0.00020547282407444537","66_65:1","66_65:533.3333333333333","true"
"67","336.9022953405421","224.04591761578968","4.892969690915572","-0.31039200176040205","0.07000000000000006","0.016666666666666666","0.1233333333333333","1216","0.0002782866739064235","0","0.0002782866739064235","0.0002782866739064235","67_66:1","67_66:533.3333333333333","true"
"68","256.53617152100475","188.58513977581117","4.74128980189362","-0.31180260683390987","0.012599999999999945","0.0178","0.007399999999999962","1216","0.00026859600174000984","0","0.00026859600174000984","0.00026859600174000984","68_67:0.013035609105709806;68_55:0.04961235463480462","68_67:533.3333333333333;68_55:533.3333333333333","true"
"69","325.0259487664013","28.5209963230307","4.8374208451313345","-0.30965408980565917","0.005900000000000016","0.00660000000000005","0.0052","1216","0.00020059574078834825","0","0.00020059574078834825","0.00020059574078834825","69_68:0.006456928290906633;69_70:0.0103773985735299","69_68:533.3333333333333;69_70:533.3333333333333","true"
"70","66.90929469488363","78.40715012730622","4.708544814617813","-0.31145025923177105","0.007400000000000073","0.011199999999999988","0.0036","1216","0.0003318452035038309","0","0.0003318452035038309","0.0003318452035038309","","","true"
"71","308.58683282911375","165.8725172191899","4.846313807709312","-0.3101101834347441","0.23229999999999995","0.23199999999999998","0.2326","1216","0.0002064650348405452","0","0.0002064650348405452","0.0002064650348405452","71_58:0.013999567595009366;71_77:0.004904465299334776","71_58:533.3333333333333;71_77:533.3333333333333","true"
"72","185.13037014404094","202.68432920824864","4.874541244156005","-0.30919743263741656","0.09840000000000004","0.11580000000000001","0.081","1216","0.0004816917658268257","0","0.0004816917658268257","0.0004816917658268257","72_62:0.006211778398326262","72_62:533.3333333333333","true"
"73","182.18868069654943","174.74127421567218","4.874791310782618","-0.3102390852422053","0.043333333333333335","0.010000000000000009","0.07666666666666666","1216","0.00021463001489426157","0","0.00021463001489426157","0.00021463001489426157","73_85:0.005428853680516821;73_66:1","73_85:533.3333333333333;73_66:533.3333333333333","true"
"74","235.4125765303462","274.4192336693561","4.814364844376075","-0.31129790243600725","0.0040000000000000036","0.005800000000000027","0.0022","1216","0.00024313472381494312","0","0.00024313472381494312","0.00024313472381494312","74_70:0.010819488508498037","74_70:533.3333333333333","true"
"75","307.41238263143833","225.56744573545845","4.768980178915828","-0.31042690020941655","0.046699999999999964","0.0466","0.04679999999999995","1216","0.00014537284374115158","0","0.00014537284374115158","0.00014537284374115158","75_76:0.005653994340557522","75_76:533.3333333333333","true"
"76","261.35833886425235","130.6650828917338","4.702014158307308","-0.31291705661427394","0.017400000000000082","0.02100000000000002","0.0138","1216","0.00012387592844179465","0","0.00012387592844179465","0.00012387592844179465","","","true"
"77","446.5946377814316","235.18253048090335","4.806555827473171","-0.3107912307043456","0.019499999999999962","0.024399999999999977","0.0146","1216","0.00015079033818164852","0","0.00015079033818164852","0.00015079033818164852","77_76:0.004422372919651141","77_76:533.3333333333333","true"
"78","312.3219295067568","384.8559711045017","4.861119185862543","-0.30955241234604897","0.01739999999999997","0.0192","0.015599999999999947","1216","0.0001561044442521959","0","0.0001561044442521959","0.0001561044442521959","78_77:0.003811161935689783;78_79:0.005723611385253402","78_77:533.3333333333333;78_79:533.3333333333333","true"
"79","208.26698510779642","26.15267955752435","4.786049106448157","-0.31151163662354525","0.007099999999999995","0.009199999999999986","0.005","1216","0.00016476596500975094","0","0.00016476596500975094","0.00016476596500975094","79_91:0.00759719287783675","79_91:533.3333333333333","true"
"80","136.50963852437087","173.1992555097229","5.042749015532641","-0.3079238440194016","0.009800000000000031","0.0076","0.01200000000000001","1216","0.00039054449525763275","0","0.00039054449525763275","0.00039054449525763275","80_79:0.0159419838127893;80_81:0.012662462934052848","80_79:533.3333333333333;80_81:533.3333333333333","true"
"81","137.4001747598118","130.63059070453863","4.961382372136232","-0.30881300331410194","0.0045999999999999375","0.007199999999999984","0.002","1216","0.00019560109284234246","0","0.00019560109284234246","0.00019560109284234246","81_82:0.017234657906282563;81_72:0.00830422141023135","81_82:533.3333333333333;81_72:533.3333333333333","true"
"82","320.14873410583306","187.7131741331589","4.815062928952966","-0.31103172317325406","0.04833333333333334","0.046666666666666634","0.05","1216","0.00033614834690471425","0","0.00033614834690471425","0.00033614834690471425","82_83:0.07301305751430909","82_83:533.3333333333333","true"
"83","266.4416840954331","130.37199155143924","4.721440939429672","-0.2975486698247847","0.3566666666666667","0.19999999999999996","0.5133333333333333","1216","0.00024150651686956904","0","0.00024150651686956904","0.00024150651686956904","","","true"
"84","99.04630559005815","143.34267974959545","4.666014178281295","-0.3133527023161981","0.021100000000000008","0.031200000000000006","0.011","1216","0.0002944308182861941","0","0.0002944308182861941","0.0002944308182861941","84_83:0.019628593455482346","84_83:448","true"
"85","268.2433819783798","125.09007385360734","4.745281583223244","-0.3119683812702387","0.033299999999999996","0.0348","0.03180000000000005","1216","0.0001948581737525756","0","0.0001948581737525756","0.0001948581737525756","85_84:0.00736707535303141","85_84:533.3333333333333","true"
"86","279.64869836127923","241.42960752457358","4.8898848316794234","-0.30913746648321616","0.007400000000000073","0.006800000000000028","0.008","1216","0.00014147391404026126","0","0.00014147391404026126","0.00014147391404026126","86_85:0.011847829553651323;86_87:0.004031322199937598","86_85:533.3333333333333;86_87:533.3333333333333","true"
"87","253.95376058994339","204.93489757299616","4.8244285035431655","-0.3099624961358293","0.011099999999999999","0.01419999999999999","0.008","1216","0.00017760906811380026","0","0.00017760906811380026","0.00017760906811380026","87_88:0.00845748227876783","87_88:533.3333333333333","true"
"88","23.432366540073353","43.51902132785362","4.689545562207001","-0.3191806929563948","0.006599999999999939","0.009000000000000008","0.0042","1216","0.00042923130498999227","0","0.00042923130498999227","0.00042923130498999227","","","true"
"89","258.4655212272593","276.5683677176841","4.9479295036997915","-0.30883270351675324","0.015600000000000058","0.0148","0.01639999999999997","1216","0.00042584745219092124","0","0.00042584745219092124","0.00042584745219092124","89_88:0.013563825481069436;89_74:0.006587612244743246","89_88:533.3333333333333;89_74:533.3333333333333","true"
